STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WT05
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/4/2010,0.24,5.2,5,21,18,20,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/5/2010,0,0,3,32,19,19,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/6/2010,0,0,3,31,19,25,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/7/2010,0,0,3,34,24,27,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/8/2010,0.01,0.5,3,40,24,27,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/9/2010,0.02,0.4,3,31,18,19,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/10/2010,0,0,3,28,13,14,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/11/2010,0,0,3,28,8,8,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/12/2010,0,0,3,34,8,27,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/13/2010,0,0,2,35,19,20,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/14/2010,0,0,2,23,16,16,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/15/2010,0,0,2,41,16,30,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/16/2010,0,0,2,47,30,33,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/17/2010,0,0,2,46,24,29,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/18/2010,0.95,0,0,40,29,34,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/19/2010,0.01,0,0,43,32,38,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/20/2010,0.01,0,0,45,27,28,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/21/2010,0,0,0,42,27,27,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/22/2010,0,0,0,41,25,31,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/23/2010,0,0,0,30,26,27,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/24/2010,0,0,0,38,16,22,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/25/2010,0.01,0,0,52,22,52,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/26/2010,0.89,0,0,55,35,35,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/27/2010,0,0,0,46,25,29,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/28/2010,0,0,0,43,22,23,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/29/2010,0.04,0.5,0,42,16,16,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/30/2010,0,0,0,24,11,11,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",1/31/2010,0,0,0,21,11,16,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/1/2010,0,0,0,30,14,25,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/2/2010,0,0,0,32,15,16,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/3/2010,0.03,0.8,1,32,15,26,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/4/2010,0,0,0,35,25,27,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/5/2010,0,0,0,35,18,18,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/6/2010,0,0,0,36,18,27,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/7/2010,0,0,0,27,16,16,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/8/2010,0,0,0,34,13,15,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/9/2010,0,0,0,37,15,19,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/10/2010,0.16,1.6,2,41,18,30,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/11/2010,1.46,11.9,11,32,27,27,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/12/2010,0,0,9,37,15,16,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/13/2010,0,0,8,37,16,23,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/14/2010,0,0,8,32,24,29,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/15/2010,0,0,7,38,26,26,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/16/2010,0.25,1.7,7,41,26,32,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/17/2010,0.16,1.9,8,33,21,23,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/18/2010,0,0.1,8,34,23,31,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/19/2010,0,0,6,43,31,33,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/20/2010,0,0,5,43,27,28,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/21/2010,0,0,4,46,26,29,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/22/2010,0,0,3,45,25,27,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/23/2010,0.01,0,2,45,27,35,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/24/2010,1.28,0,0,40,35,40,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/25/2010,0.72,0,0,43,36,36,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/26/2010,2.43,5.9,6,40,26,26,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/27/2010,0.28,4.5,7,31,27,28,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",2/28/2010,0,0,4,33,27,31,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",3/1/2010,0,0,3,38,31,36,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",3/2/2010,0,0,1,47,31,31,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",3/3/2010,0.03,0.3,0,47,31,32,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",3/4/2010,0.11,0,0,38,32,35,,
